Card ID,Title,List,Status,Priority,Sprint,Area,Description
C001,Inicializar projeto Laravel + Livewire + Breeze,Feito,Done,Alta,S1,Infra,Base do projeto configurada com autenticação Breeze e Livewire.
C002,Criar migrations base,Feito,Done,Alta,S1,Banco,"Migrations de users, cache e jobs criadas."
C003,Criar migrations de domínio,Feito,Done,Alta,S1,Banco,"Migrations de categories, products, product_images, carts, cart_items, addresses, orders e order_items."
C004,Implementar models das 9 entidades,Feito,Done,Alta,S1,Domínio,Models criados para todo o domínio principal.
C005,Implementar middleware admin,Feito,Done,Alta,S2,Segurança,Middleware admin criado e aplicado nas rotas administrativas.
C006,Implementar catálogo público,Feito,Done,Alta,S2,Storefront,"Home, listagem de produtos, categorias e página de detalhe implementadas."
C007,Implementar ProductSearch Livewire,Feito,Done,Média,S2,Livewire,Busca reativa de produtos implementada.
C008,Implementar ProductFilter Livewire,Feito,Done,Média,S2,Livewire,Filtros reativos por categoria preço e status implementados.
C009,Implementar carrinho reativo Livewire,Feito,Done,Alta,S3,Carrinho,"Componentes AddToCart, CartPage, CartSummary e CartIcon implementados."
C010,Implementar CartService com transações,Feito,Done,Alta,S3,Carrinho,"Serviço com lock de estoque e recálculo de totais implementado."
C011,Implementar checkout etapa 1 endereço,Feito,Done,Alta,S4,Checkout,Seleção e CRUD de endereços funcionando.
C012,Implementar checkout etapa 2 pagamento,Feito,Done,Alta,S4,Checkout,Escolha de método de pagamento em UI implementada.
C013,Implementar CRUD admin de categorias,Feito,Done,Alta,S5,Admin,Painel e CRUD de categorias implementados.
C014,Implementar CRUD admin de produtos,Feito,Done,Alta,S5,Admin,Painel e CRUD de produtos com upload de imagens implementados.
C015,Implementar seeders iniciais,Feito,Done,Média,S1,Dados,"Seeders de admin, cliente, categorias e produtos implementados."
C016,Implementar testes auth perfil carrinho,Feito,Done,Alta,S6,Testes,Testes de autenticação perfil e carrinho criados.
C017,Executar suíte de testes atual,Feito,Done,Média,S6,Testes,Suíte atual executada com sucesso 33 testes passando.
C018,Implementar checkout etapa 3 revisão,A Fazer,Todo,Alta,S4,Checkout,Criar tela de revisão final antes de confirmar pedido.
C019,Criar OrderController@store,A Fazer,Todo,Alta,S4,Checkout,Finalizar pedido dentro de DB::transaction.
C020,Criar OrderItems no fechamento,A Fazer,Todo,Alta,S4,Checkout,Gerar itens do pedido a partir do carrinho.
C021,Limpar carrinho após pedido,A Fazer,Todo,Alta,S4,Checkout,Limpar itens e totais ao confirmar pedido.
C022,Ajustar baixa de estoque para checkout final,A Fazer,Todo,Alta,S4,Checkout,Retirar baixa no carrinho e aplicar no fechamento do pedido.
C023,Disparar job de confirmação por e-mail,A Fazer,Todo,Alta,S5,Queue,Dispatch de SendOrderConfirmationEmail após checkout.
C024,Disparar job de boleto,A Fazer,Todo,Alta,S5,Queue,Dispatch de GenerateBoleto quando método for boleto.
C025,Criar jobs de fila,A Fazer,Todo,Alta,S5,Queue,Criar classes SendOrderConfirmationEmail e GenerateBoleto.
C026,Criar mailable de confirmação,A Fazer,Todo,Alta,S5,Mail,Criar template e mailable de confirmação do pedido.
C027,Criar tela Meus Pedidos,A Fazer,Todo,Alta,S4,Pedidos,Listagem de pedidos do cliente com paginação e status.
C028,Criar tela Detalhe do Pedido,A Fazer,Todo,Alta,S4,Pedidos,Exibir itens endereço pagamento e total do pedido.
C029,Implementar tracking_number,A Fazer,Todo,Alta,S5,Pedidos,Salvar e exibir código de rastreio.
C030,Implementar cancelamento com regra de estado,A Fazer,Todo,Alta,S4,Pedidos,"Permitir cancelamento apenas em pending/processing."
C031,Criar admin de pedidos,A Fazer,Todo,Alta,S5,Admin,"Listar pedidos, atualizar status e tracking no admin."
C032,Ajustar enum de status do pedido,A Fazer,Todo,Alta,S4,Domínio,Alinhar para pending processing shipped delivered cancelled.
C033,Remover status paid e ajustar transições,A Fazer,Todo,Alta,S4,Domínio,Atualizar constantes e regras de cancelamento/transição.
C034,Renomear trackingNumber para tracking_number,A Fazer,Todo,Alta,S4,Domínio,Ajustar migration model e usos no código.
